Name,Price,Category,Question,Answer,Company,PriceQ,PriceA,CompanyQ,CompanyA
Oreo,20,Biscuit,What is Oreo?,Oreo is sandwich cookie consisting of two chocolate wafers with a sweet creme filling biscuit.,LU,What is the price of Oreo?,The price of Oreo is 20rs,Who is the manufacturer of Oreo?,The manufacturer of Oreo is LU
Cocomo,10,Biscuit,What is Cocomo?,Cocomo is a crunchy biscuit with a creamy chocolate filling with different chocolate flavors ,CandyLand,What is the price of Cocomo?,The price of Cocomo is 10rs,Who is the manufacturer of Cocomo?,The manufacturer of Cocomo is CandyLand
Special,20,Biscuit,What is Special?,"Mayfair Special is a type of crunchy, sweet, and golden biscuit",Hilal,What is the price of Special?,The price of Special is 20rs,Who is the manufacturer of Special?,The manufacturer of Special is Hilal
Sooper,20,Biscuit,What is Sooper?,Sooper is egg and milk flavor biscuit,Hilal,What is the price of Sooper?,The price of Sooper is 20rs,Who is the manufacturer of Sooper?,The manufacturer of Sooper is Hilal
Milcolu,20,Biscuit,What is Milcolu?,"Milcolu is a double milk sandwich biscuit, it has a creamy, rich milk-flavored filling between two crunchy biscuits",Hilal,What is the price of Milcolu?,The price of Milcolu is 20rs,Who is the manufacturer of Milcolu?,The manufacturer of Milcolu is Hilal
Milkabisk,20,Biscuit,What is Milkabisk?,Milkabisk is a milk and wheat biscuit,LU,What is the price of Milkabisk?,The price of Milkabisk is 20rs,Who is the manufacturer of Milkabisk?,The manufacturer of Milkabisk is LU
Butter Puff,20,Biscuit,What is Butter Puff?,"Butter Puff biscuit is a flaky, airy biscuit or cracker with a rich, buttery flavor and a crispy texture",LU ,What is the price of Butter Puff?,The price of Butter Puff is 20rs,Who is the manufacturer of Butter Puff?,The manufacturer of Butter Puff is LU 
Marie,20,Biscuit,What is Marie?,"Marie biscuit is a thin, dry, round, and slightly sweet biscuit",Hilal,What is the price of Marie?,The price of Marie is 20rs,Who is the manufacturer of Marie?,The manufacturer of Marie is Hilal
Peanut Pik,20,Biscuit,What is Peanut Pik?,"Peanut Pik biscuit is a crunchy, nutty snack biscuit ",Hilal,What is the price of Peanut Pik?,The price of Peanut Pik is 20rs,Who is the manufacturer of Peanut Pik?,The manufacturer of Peanut Pik is Hilal
Gala,20,Biscuit,What is Gala?,"Gala is a light, crispy, and slightly sweet biscuit",LU ,What is the price of Gala?,The price of Gala is 20rs,Who is the manufacturer of Gala?,The manufacturer of Gala is LU 
Candy,20,Biscuit,What is Candy?,Candy is a hard dark biscuit filled with sugar,CandyLand,What is the price of Candy?,The price of Candy is 20rs,Who is the manufacturer of Candy?,The manufacturer of Candy is CandyLand
Peanut Pista,20,Biscuit,What is Peanut Pista?,peanut pista biscuit is a type of crunchy biscuit made with a mix of peanuts and pistachios,Hilal,What is the price of Peanut Pista?,The price of Peanut Pista is 20rs,Who is the manufacturer of Peanut Pista?,The manufacturer of Peanut Pista is Hilal
Rio,20,Biscuit,What is Rio?,Rio is a vanilla cream biscuit,Peek Freans,What is the price of Rio?,The price of Rio is 20rs,Who is the manufacturer of Rio?,The manufacturer of Rio is Peek Freans
Prince,20,Biscuit,What is Prince?,Prince is chocolate cream biscuit,LU,What is the price of Prince?,The price of Prince is 20rs,Who is the manufacturer of Prince?,The manufacturer of Prince is LU
Day Dream,20,Biscuit,What is Day Dream?,Day Dream is a dark chocolate biscuit,Bisconni,What is the price of Day Dream?,The price of Day Dream is 20rs,Who is the manufacturer of Day Dream?,The manufacturer of Day Dream is Bisconni
Tuc,20,Biscuit,What is Tuc?,"Tuc is a salty, crispy cracker biscuit",LU,What is the price of Tuc?,The price of Tuc is 20rs,Who is the manufacturer of Tuc?,The manufacturer of Tuc is LU
Tiger,20,Biscuit,What is Tiger?,Tiger is a energy-boosting biscuit,LU,What is the price of Tiger?,The price of Tiger is 20rs,Who is the manufacturer of Tiger?,The manufacturer of Tiger is LU
Zeera Plus,20,Biscuit,What is Zeera Plus?,Zeera Plus is a baked biscuit with Zeera,LU,What is the price of Zeera Plus?,The price of Zeera Plus is 20rs,Who is the manufacturer of Zeera Plus?,The manufacturer of Zeera Plus is LU
Chocolate Chip,20,Biscuit,What is Chocolate Chip?,Chocolate Chip is a baked cookies biscuit sprinkled with chips,EBM,What is the price of Chocolate Chip?,The price of Chocolate Chip is 20rs,Who is the manufacturer of Chocolate Chip?,The manufacturer of Chocolate Chip is EBM
Hilal Cup cake,15,Cake,What is Hilal Cup cake?,"Hilal Cupkakes are soft, moist sponge cakes that come with a creamy or gooey filling at the center",Peek Freans,What is the price of Hilal Cup cake?,The price of Hilal Cup cake is 15rs,Who is the manufacturer of Hilal Cup cake?,The manufacturer of Hilal Cup cake is Peek Freans
Sooper Cake,15,Cake,What is Sooper Cake?,Sooper cake is a light fluffy plain cake,Sooper,What is the price of Sooper Cake?,The price of Sooper Cake is 15rs,Who is the manufacturer of Sooper Cake?,The manufacturer of Sooper Cake is Sooper
Hoest,5,Candy,What is Hoest?,"Hoest candy refers to a range of candies produced by the Hoest confectionery company, which includes throat lozenges to soothe coughs and sore throats, and other confectionery products like mints, butter toffees, and chocolate-filled candies",Hilal Foods,What is the price of Hoest?,The price of Hoest is 5rs,Who is the manufacturer of Hoest?,The manufacturer of Hoest is Hilal Foods
Chaska,5,Candy,What is Chaska?,"Chaska candy is a popular, tangy, and fruity flavored candy, often a green mango or amrood flavor",EBM,What is the price of Chaska?,The price of Chaska is 5rs,Who is the manufacturer of Chaska?,The manufacturer of Chaska is EBM
Hajmola Imli,5,Candy,What is Hajmola Imli?,Hajmola Imli candy is a popular Indian candy made with tamarind that is known for its tangy and sweet flavor and is also marketed for its digestive benefits,Dabur,What is the price of Hajmola Imli?,The price of Hajmola Imli is 5rs,Who is the manufacturer of Hajmola Imli?,The manufacturer of Hajmola Imli is Dabur
Chooran Chatni,5,Candy,What is Chooran Chatni?,"Choran Chatni candy is a sweet and tangy Pakistani hard candy, often coated in a smooth shell, that features a mix of traditional chutney flavors like tamarind and red chili, and is infused with spices",Local,What is the price of Chooran Chatni?,The price of Chooran Chatni is 5rs,Who is the manufacturer of Chooran Chatni?,The manufacturer of Chooran Chatni is Local
Aamrus,5,Candy,What is Aamrus?,"Aamrus candy is a tropical, mango-flavored hard candy, often with a soft or juicy mango-flavored center",Shezan,What is the price of Aamrus?,The price of Aamrus is 5rs,Who is the manufacturer of Aamrus?,The manufacturer of Aamrus is Shezan
Frooto Apple,5,Candy,What is Frooto Apple?,"rooto Apple is a type of small, chewy candy with a soft crunch",Shezan,What is the price of Frooto Apple?,The price of Frooto Apple is 5rs,Who is the manufacturer of Frooto Apple?,The manufacturer of Frooto Apple is Shezan
Panpasand,5,Candy,What is Panpasand?,"Pan Pasand is a traditional Pakistani candy that combines the flavors of traditional ""pan"" ingredients like aniseed, desiccated coconut, and mint",Hilal Foods,What is the price of Panpasand?,The price of Panpasand is 5rs,Who is the manufacturer of Panpasand?,The manufacturer of Panpasand is Hilal Foods
Eclairs,5,Candy,What is Eclairs?,Eclairs candy is a chewy toffee sweet with a chocolate center,Hilal Foods,What is the price of Eclairs?,The price of Eclairs is 5rs,Who is the manufacturer of Eclairs?,The manufacturer of Eclairs is Hilal Foods
Frooto Amrood,5,Candy,What is Frooto Amrood?,Frooto Amrood candy is a type of hard or soft-crunch candy from Pakistan that is flavored like guava,Shezan,What is the price of Frooto Amrood?,The price of Frooto Amrood is 5rs,Who is the manufacturer of Frooto Amrood?,The manufacturer of Frooto Amrood is Shezan
Frooto Orange,5,Candy,What is Frooto Orange?,"Frooto Orange is a type of fruity, orange-flavored candy",Shezan,What is the price of Frooto Orange?,The price of Frooto Orange is 5rs,Who is the manufacturer of Frooto Orange?,The manufacturer of Frooto Orange is Shezan
Softmint ice,5,Candy,What is Softmint ice?,"Softmint ice candy is a type of hard-shell, chewy mint candy with a cool and refreshing taste",Hilal Foods,What is the price of Softmint ice?,The price of Softmint ice is 5rs,Who is the manufacturer of Softmint ice?,The manufacturer of Softmint ice is Hilal Foods
Frooto,5,Candy,What is Frooto?,"Frooto candy is a brand of fruit-flavored, center-filled chewy candies",Shezan,What is the price of Frooto?,The price of Frooto is 5rs,Who is the manufacturer of Frooto?,The manufacturer of Frooto is Shezan
Fruit Gala,5,Candy,What is Fruit Gala?,"Fruit Gala is a Chewy, soft, and stretchy fruit-flavored candy",Shezan,What is the price of Fruit Gala?,The price of Fruit Gala is 5rs,Who is the manufacturer of Fruit Gala?,The manufacturer of Fruit Gala is Shezan
Fanta,5,Candy,What is Fanta?,"anta candy is a line of fruit-flavored candies, most commonly orange-flavored, inspired by the taste of Fanta soda",Coca-Cola,What is the price of Fanta?,The price of Fanta is 5rs,Who is the manufacturer of Fanta?,The manufacturer of Fanta is Coca-Cola
Khopra,5,Candy,What is Khopra?,Khopra candy is a sweet and chewy confectionery made with a coconut filling and a milky or caramel outer shell,Local,What is the price of Khopra?,The price of Khopra is 5rs,Who is the manufacturer of Khopra?,The manufacturer of Khopra is Local
Mentos,100,Chew,What is Mentos?,"Mentos are a brand of chewy candies known for their hard exterior and soft, chewy interior",Perfetti Van Melle,What is the price of Mentos?,The price of Mentos is 100rs,Who is the manufacturer of Mentos?,The manufacturer of Mentos is Perfetti Van Melle
Bubble Pop,5,Chew Gum,What is Bubble Pop?,"Bubble Pop Chew Gum is a specific brand of bubble gum, like CandyLand or Trident, known for its chewy, stretchy texture designed for blowing large bubbles",CandyLand,What is the price of Bubble Pop?,The price of Bubble Pop is 5rs,Who is the manufacturer of Bubble Pop?,The manufacturer of Bubble Pop is CandyLand
Joe Soft,5,Chew Gum,What is Joe Soft?,Joe Soft Bubble is a chewy bubble gum with a soft outer layer and a sour filling,CandyLand,What is the price of Joe Soft?,The price of Joe Soft is 5rs,Who is the manufacturer of Joe Soft?,The manufacturer of Joe Soft is CandyLand
Ding Dong,5,Chew Gum,What is Ding Dong?,"Ding Dong is a brand of bubble gum from Pakistan, made by Hilal Foods, known for its soft, chewy texture, long-lasting flavor, and ability to blow large bubbles",Hilal Foods,What is the price of Ding Dong?,The price of Ding Dong is 5rs,Who is the manufacturer of Ding Dong?,The manufacturer of Ding Dong is Hilal Foods
Boom Boom,5,Chew Gum,What is Boom Boom?,"It is a fruity, soft, and chewy bubble gum that comes in various pack sizes, and is popular in Pakistan",Hilal Foods,What is the price of Boom Boom?,The price of Boom Boom is 5rs,Who is the manufacturer of Boom Boom?,The manufacturer of Boom Boom is Hilal Foods
Fresh up,5,Chew Gum,What is Fresh up?,"Fresh Up Bubble is a type of bubble gum made by Hilal Foods, available in various flavors like spearmint and strawberry",CandyLand,What is the price of Fresh up?,The price of Fresh up is 5rs,Who is the manufacturer of Fresh up?,The manufacturer of Fresh up is CandyLand
Lays,30,Chips,What is Lays?,Lay's is a brand of potato chips,PepsiCo,What is the price of Lays?,The price of Lays is 30rs,Who is the manufacturer of Lays?,The manufacturer of Lays is PepsiCo
Wavy,30,Chips,What is Wavy?,"Wavy Lays are a line of potato chips by Lay's that have a thick, crispy texture with deep ridges, making them ideal for dipping",PepsiCo,What is the price of Wavy?,The price of Wavy is 30rs,Who is the manufacturer of Wavy?,The manufacturer of Wavy is PepsiCo
Slanty,30,Chips,What is Slanty?,"Slanty chips are a popular, light, and crunchy snack made from potato starch, potato flakes, and vegetable oil",Kolson,What is the price of Slanty?,The price of Slanty is 30rs,Who is the manufacturer of Slanty?,The manufacturer of Slanty is Kolson
Kurkure,30,Chips,What is Kurkure?,"Kurkure is crunchy, puffed snacks made from rice, corn, and lentils",PepsiCo,What is the price of Kurkure?,The price of Kurkure is 30rs,Who is the manufacturer of Kurkure?,The manufacturer of Kurkure is PepsiCo
Kurleez,30,Chips,What is Kurleez?,"Kurleez are a brand of crispy, crunchy potato chips",Ismail Industries,What is the price of Kurleez?,The price of Kurleez is 30rs,Who is the manufacturer of Kurleez?,The manufacturer of Kurleez is Ismail Industries
Cheetos,30,Chips,What is Cheetos?,"Cheetos are a puffed cornmeal snack, similar to a crunchy or puffy corn curl",PepsiCo,What is the price of Cheetos?,The price of Cheetos is 30rs,Who is the manufacturer of Cheetos?,The manufacturer of Cheetos is PepsiCo
Now,20,Chocolate,What is Now?,Now is a crispy and crunchy wafer bar with a chocolate filling,LU,What is the price of Now?,The price of Now is 20rs,Who is the manufacturer of Now?,The manufacturer of Now is LU
Paradise,20,Chocolate,What is Paradise?,Paradise is a coconut-filled chocolate bar,EBM,What is the price of Paradise?,The price of Paradise is 20rs,Who is the manufacturer of Paradise?,The manufacturer of Paradise is EBM
Jubilee,20,Chocolate,What is Jubilee?,"Jubilee is a creamy, rich milk chocolate",Hilal Foods,What is the price of Jubilee?,The price of Jubilee is 20rs,Who is the manufacturer of Jubilee?,The manufacturer of Jubilee is Hilal Foods
Sonnet,20,Chocolate,What is Sonnet?,Sonnet is a smooth milk chocolate with a crunchy peanut and creamy fudge or caramel interior,EBM,What is the price of Sonnet?,The price of Sonnet is 20rs,Who is the manufacturer of Sonnet?,The manufacturer of Sonnet is EBM
